investment_id,fund_name,superfund_type,fund_assets,investment_id,investment_name,asset_class,lifecycle_in,public_offer,return_1yr,return_3yr,return_5yr,investment_size,targetreturn,risk,fee,invfee,admin_fee
221,Westpac Mastertrust - Superannuation Division,Retail,6.181933,509,BT Business Super - MySuper 1960s Lifestage Fund,Conservative Balanced,1,1,6.740212,7.725098,6.924899,1.11798,2.1,3.58,623,0.0061,0.0069
221,Westpac Mastertrust - Superannuation Division,Retail,6.181933,510,BT Business Super - MySuper 1970s Lifestage Fund,Growth,1,1,7.423579,10.254757,8.532571,1.44518,3.3,4.3,628,0.0063,0.0069
221,Westpac Mastertrust - Superannuation Division,Retail,6.181933,511,BT Business Super - MySuper 1980s Lifestage Fund,Growth,1,1,7.44562,10.283774,8.437204,1.14786,3.3,4.3,628,0.0063,0.0069
221,Westpac Mastertrust - Superannuation Division,Retail,6.181933,512,BT Business Super - MySuper 1990s Lifestage Fund,Growth,1,1,7.426382,10.224172,8.303489,0.31955,3.3,4.3,628,0.0063,0.0069
221,Westpac Mastertrust - Superannuation Division,Retail,6.181933,513,BT Business Super - MySuper 2000s Lifestage Fund,Growth,1,1,7.286449,10.030136,8.38671,0.00238,3.3,4.3,628,0.0064,0.0069
195,BT Retirement Wrap,Retail,65.062322,514,BT Lifetime Employer Super - MySuper 1940s Lifestage Fund,Capital Stable,1,1,5.699914,4.448821,4.013006,0.06294,1.1,1.29,628,0.0059,0.0064
195,BT Retirement Wrap,Retail,65.062322,515,BT Lifetime Employer Super - MySuper 1950s Lifestage Fund,Capital Stable,1,1,5.916856,5.175225,4.737535,0.84912,1.3,1.81,623,0.0059,0.0064
195,BT Retirement Wrap,Retail,65.062322,516,BT Lifetime Employer Super - MySuper 1960s Lifestage Fund,Conservative Balanced,1,1,6.623934,7.46257,6.246914,2.69057,2.1,3.58,623,0.0061,0.0064
195,BT Retirement Wrap,Retail,65.062322,517,BT Lifetime Employer Super - MySuper 1970s Lifestage Fund,Growth,1,1,7.367734,9.729521,7.7366,3.77587,3.3,4.3,628,0.0063,0.0064
195,BT Retirement Wrap,Retail,65.062322,518,BT Lifetime Employer Super - MySuper 1980s Lifestage Fund,Growth,1,1,7.398455,9.813559,7.874045,3.64109,3.3,4.3,628,0.0063,0.0064
195,BT Retirement Wrap,Retail,65.062322,519,BT Lifetime Employer Super - MySuper 1990s Lifestage Fund,Growth,1,1,7.459207,9.97178,7.984959,1.0527,3.3,4.3,628,0.0063,0.0064
195,BT Retirement Wrap,Retail,65.062322,520,BT Lifetime Employer Super - MySuper 2000s Lifestage Fund,Growth,1,1,7.375756,10.111464,8.303983,0.0068,3.3,4.3,628,0.0064,0.0064
135,BUSSQ,Industry,4.785864,548,BUSSQ MySuper - Balanced Growth,Balanced,0,1,4.786016,7.816809,8.038327,3.7377,4,2.98,598,0.0089,0.0032
136,Care Super,Industry,14.820289,561,CareSuper - Balanced,Balanced,0,1,6.881778,9.540748,8.743893,12.07594,5.7,2.9,603,0.0071,0.0036
179,Catholic Super,Industry,9.493621,570,Catholic Super - Aggressive (MySuper),High Growth,1,1,5.359224,NULL,NULL,1.98117,4.5,4.7,778,0.0119,0.0008
179,Catholic Super,Industry,9.493621,580,Catholic Super - Balanced (MySuper),Balanced,1,1,5.010831,8.830061,8.399304,4.01737,3.9,3.9,768,0.0117,0.0004
145,Cbus,Industry,45.600494,587,Cbus - Growth (MySuper),Balanced,0,1,7.152056,10.084841,9.200107,44.86675,3.6,3,538,0.0065,0.0027
122,AMP Superannuation Savings Trust,Retail,56.744778,2087,CCA MySuper Future Directions Balanced,Balanced,1,1,6.18949,8.465666,7.790638,0.16683,4.6,3.56,465,0.0096,0.0003
122,AMP Superannuation Savings Trust,Retail,56.744778,2088,CCA MySuper Future Directions Conservative,Capital Stable,1,1,5.244163,4.731436,4.865795,0.00855,3.4,1.16,325,0.0068,0.0003
122,AMP Superannuation Savings Trust,Retail,56.744778,2089,CCA MySuper Future Directions Growth,NULL,1,1,6.454366,9.841188,8.721915,0.12157,5.1,4.3,455,0.0094,0.0003
122,AMP Superannuation Savings Trust,Retail,56.744778,2090,CCA MySuper Future Directions High Growth,High Growth,1,1,7.106221,10.920397,9.326809,0.01236,5.4,4.65,430,0.0089,0.0003
